ENSRNOG00000008656	ENSRNOG00000002833
ENSRNOG00000008656	ENSRNOG00000003029
ENSRNOG00000008656	ENSRNOG00000003206
ENSRNOG00000008656	ENSRNOG00000003261
ENSRNOG00000008656	ENSRNOG00000003343
ENSRNOG00000008656	ENSRNOG00000003399
ENSRNOG00000008656	ENSRNOG00000003491
ENSRNOG00000008656	ENSRNOG00000004060
ENSRNOG00000008656	ENSRNOG00000004291
ENSRNOG00000008656	ENSRNOG00000004741
ENSRNOG00000008656	ENSRNOG00000004813
ENSRNOG00000008656	ENSRNOG00000004959
ENSRNOG00000008656	ENSRNOG00000005389
ENSRNOG00000008656	ENSRNOG00000006178
ENSRNOG00000008656	ENSRNOG00000006545
ENSRNOG00000008656	ENSRNOG00000007029
ENSRNOG00000008656	ENSRNOG00000007663
ENSRNOG00000008656	ENSRNOG00000008373
ENSRNOG00000008656	ENSRNOG00000008536
ENSRNOG00000008716	ENSRNOG00000005133
ENSRNOG00000008766	ENSRNOG00000001130
ENSRNOG00000008766	ENSRNOG00000002767
ENSRNOG00000008766	ENSRNOG00000005276
ENSRNOG00000008786	ENSRNOG00000000805
ENSRNOG00000008786	ENSRNOG00000001849
ENSRNOG00000008797	ENSRNOG00000005133
ENSRNOG00000008829	ENSRNOG00000004305
ENSRNOG00000008890	ENSRNOG00000004327
ENSRNOG00000008961	ENSRNOG00000001849
ENSRNOG00000008965	ENSRNOG00000002568
ENSRNOG00000008994	ENSRNOG00000000805
ENSRNOG00000009075	ENSRNOG00000007090
ENSRNOG00000009079	ENSRNOG00000001849
ENSRNOG00000009088	ENSRNOG00000000805
ENSRNOG00000009097	ENSRNOG00000000805
ENSRNOG00000009097	ENSRNOG00000001129
ENSRNOG00000009097	ENSRNOG00000001142
ENSRNOG00000009097	ENSRNOG00000005133
ENSRNOG00000009110	ENSRNOG00000005392
ENSRNOG00000009152	ENSRNOG00000006990
ENSRNOG00000009161	ENSRNOG00000001849
ENSRNOG00000009161	ENSRNOG00000005133
ENSRNOG00000009236	ENSRNOG00000002051
ENSRNOG00000009275	ENSRNOG00000000805
ENSRNOG00000009275	ENSRNOG00000001142
ENSRNOG00000009275	ENSRNOG00000005133
ENSRNOG00000009275	ENSRNOG00000008656
ENSRNOG00000009285	ENSRNOG00000000470
ENSRNOG00000009285	ENSRNOG00000006895
ENSRNOG00000009378	ENSRNOG00000001849
ENSRNOG00000009385	ENSRNOG00000003802
ENSRNOG00000009421	ENSRNOG00000000805
ENSRNOG00000009432	ENSRNOG00000001129
ENSRNOG00000009432	ENSRNOG00000001849
ENSRNOG00000009432	ENSRNOG00000008656
ENSRNOG00000009439	ENSRNOG00000001142
ENSRNOG00000009439	ENSRNOG00000008656
ENSRNOG00000009495	ENSRNOG00000004332
ENSRNOG00000009495	ENSRNOG00000004483
ENSRNOG00000009495	ENSRNOG00000006450
ENSRNOG00000009495	ENSRNOG00000008180
ENSRNOG00000009512	ENSRNOG00000000805
ENSRNOG00000009513	ENSRNOG00000000805
ENSRNOG00000009535	ENSRNOG00000001849
ENSRNOG00000009539	ENSRNOG00000000866
ENSRNOG00000009539	ENSRNOG00000001996
ENSRNOG00000009568	ENSRNOG00000000477
ENSRNOG00000009568	ENSRNOG00000008445
ENSRNOG00000009625	ENSRNOG00000003520
ENSRNOG00000009625	ENSRNOG00000005133
ENSRNOG00000009625	ENSRNOG00000006957
ENSRNOG00000009625	ENSRNOG00000008766
ENSRNOG00000009630	ENSRNOG00000000805
ENSRNOG00000009642	ENSRNOG00000000805
ENSRNOG00000009642	ENSRNOG00000001129
ENSRNOG00000009642	ENSRNOG00000001142
ENSRNOG00000009642	ENSRNOG00000005133
ENSRNOG00000009642	ENSRNOG00000008656
ENSRNOG00000009652	ENSRNOG00000003147
ENSRNOG00000009652	ENSRNOG00000006410
ENSRNOG00000009683	ENSRNOG00000001575
ENSRNOG00000009683	ENSRNOG00000004936
ENSRNOG00000009683	ENSRNOG00000009528
ENSRNOG00000009781	ENSRNOG00000000151
ENSRNOG00000009783	ENSRNOG00000004060
ENSRNOG00000009783	ENSRNOG00000005133
ENSRNOG00000009783	ENSRNOG00000006957
ENSRNOG00000009845	ENSRNOG00000000805
ENSRNOG00000009872	ENSRNOG00000005798
ENSRNOG00000009882	ENSRNOG00000002051
ENSRNOG00000009882	ENSRNOG00000004060
ENSRNOG00000009882	ENSRNOG00000005133
ENSRNOG00000009884	ENSRNOG00000000805
ENSRNOG00000009894	ENSRNOG00000009285
ENSRNOG00000009960	ENSRNOG00000005133
ENSRNOG00000009974	ENSRNOG00000000805
ENSRNOG00000009994	ENSRNOG00000000805
ENSRNOG00000009994	ENSRNOG00000005133
ENSRNOG00000010037	ENSRNOG00000005434
ENSRNOG00000010038	ENSRNOG00000001489
