ENSRNOP00000027590	ENSRNOP00000018025
ENSRNOP00000027665	ENSRNOP00000020304
ENSRNOP00000027682	ENSRNOP00000011983
ENSRNOP00000027784	ENSRNOP00000018025
ENSRNOP00000027794	ENSRNOP00000018025
ENSRNOP00000028020	ENSRNOP00000009564
ENSRNOP00000028020	ENSRNOP00000014320
ENSRNOP00000028033	ENSRNOP00000014604
ENSRNOP00000028038	ENSRNOP00000009359
ENSRNOP00000028038	ENSRNOP00000010020
ENSRNOP00000028060	ENSRNOP00000001054
ENSRNOP00000028060	ENSRNOP00000023037
ENSRNOP00000028100	ENSRNOP00000018025
ENSRNOP00000028141	ENSRNOP00000011052
ENSRNOP00000028143	ENSRNOP00000001054
ENSRNOP00000028143	ENSRNOP00000012739
ENSRNOP00000028401	ENSRNOP00000001054
ENSRNOP00000028438	ENSRNOP00000018973
ENSRNOP00000028458	ENSRNOP00000001054
ENSRNOP00000028458	ENSRNOP00000023037
ENSRNOP00000028491	ENSRNOP00000011130
ENSRNOP00000028544	ENSRNOP00000023037
ENSRNOP00000028760	ENSRNOP00000023037
ENSRNOP00000028887	ENSRNOP00000001508
ENSRNOP00000028887	ENSRNOP00000023037
ENSRNOP00000029334	ENSRNOP00000023037
ENSRNOP00000029426	ENSRNOP00000023037
ENSRNOP00000029575	ENSRNOP00000015124
ENSRNOP00000029575	ENSRNOP00000018025
ENSRNOP00000029821	ENSRNOP00000001054
ENSRNOP00000029891	ENSRNOP00000000477
ENSRNOP00000030025	ENSRNOP00000018025
ENSRNOP00000030146	ENSRNOP00000020304
ENSRNOP00000030481	ENSRNOP00000023037
ENSRNOP00000030538	ENSRNOP00000018025
ENSRNOP00000030546	ENSRNOP00000018025
ENSRNOP00000030885	ENSRNOP00000001054
ENSRNOP00000030885	ENSRNOP00000020603
ENSRNOP00000030885	ENSRNOP00000023037
ENSRNOP00000030885	ENSRNOP00000024464
ENSRNOP00000030976	ENSRNOP00000001054
ENSRNOP00000031020	ENSRNOP00000018025
ENSRNOP00000031020	ENSRNOP00000023037
ENSRNOP00000031078	ENSRNOP00000001508
ENSRNOP00000031201	ENSRNOP00000018025
ENSRNOP00000031520	ENSRNOP00000001508
ENSRNOP00000032890	ENSRNOP00000001054
ENSRNOP00000032890	ENSRNOP00000023037
ENSRNOP00000032902	ENSRNOP00000003060
ENSRNOP00000033018	ENSRNOP00000018025
ENSRNOP00000033065	ENSRNOP00000007074
ENSRNOP00000033065	ENSRNOP00000023037
ENSRNOP00000033874	ENSRNOP00000013727
ENSRNOP00000034368	ENSRNOP00000018025
ENSRNOP00000034754	ENSRNOP00000034233
ENSRNOP00000034846	ENSRNOP00000001054
ENSRNOP00000034846	ENSRNOP00000001508
ENSRNOP00000034846	ENSRNOP00000008728
ENSRNOP00000034846	ENSRNOP00000023037
ENSRNOP00000034846	ENSRNOP00000025064
ENSRNOP00000034921	ENSRNOP00000001054
ENSRNOP00000034921	ENSRNOP00000023037
ENSRNOP00000035345	ENSRNOP00000001054
ENSRNOP00000035622	ENSRNOP00000018025
ENSRNOP00000035622	ENSRNOP00000023037
ENSRNOP00000035846	ENSRNOP00000018025
ENSRNOP00000035953	ENSRNOP00000006403
ENSRNOP00000035953	ENSRNOP00000028814
ENSRNOP00000035994	ENSRNOP00000008037
ENSRNOP00000036207	ENSRNOP00000014604
ENSRNOP00000036336	ENSRNOP00000018025
ENSRNOP00000036544	ENSRNOP00000005370
ENSRNOP00000036813	ENSRNOP00000019319
ENSRNOP00000036862	ENSRNOP00000026210
ENSRNOP00000037110	ENSRNOP00000001508
ENSRNOP00000037110	ENSRNOP00000023037
ENSRNOP00000037598	ENSRNOP00000018025
ENSRNOP00000037928	ENSRNOP00000000477
ENSRNOP00000037928	ENSRNOP00000006063
ENSRNOP00000038065	ENSRNOP00000001054
ENSRNOP00000038065	ENSRNOP00000023037
ENSRNOP00000038651	ENSRNOP00000009549
ENSRNOP00000039019	ENSRNOP00000001508
ENSRNOP00000039048	ENSRNOP00000001054
ENSRNOP00000039050	ENSRNOP00000018025
ENSRNOP00000039172	ENSRNOP00000008728
ENSRNOP00000039172	ENSRNOP00000023037
ENSRNOP00000039172	ENSRNOP00000025064
ENSRNOP00000039502	ENSRNOP00000004867
ENSRNOP00000039602	ENSRNOP00000001508
ENSRNOP00000039645	ENSRNOP00000018025
ENSRNOP00000039862	ENSRNOP00000018025
ENSRNOP00000039931	ENSRNOP00000023054
ENSRNOP00000039995	ENSRNOP00000008734
ENSRNOP00000039995	ENSRNOP00000011052
ENSRNOP00000039995	ENSRNOP00000023037
ENSRNOP00000040016	ENSRNOP00000001759
ENSRNOP00000040016	ENSRNOP00000009979
ENSRNOP00000040016	ENSRNOP00000036813
ENSRNOP00000040081	ENSRNOP00000001054
ENSRNOP00000040092	ENSRNOP00000023037
ENSRNOP00000040111	ENSRNOP00000010020
ENSRNOP00000040111	ENSRNOP00000028038
ENSRNOP00000040111	ENSRNOP00000028491
ENSRNOP00000040121	ENSRNOP00000001054
ENSRNOP00000040121	ENSRNOP00000001863
ENSRNOP00000040121	ENSRNOP00000006637
ENSRNOP00000040172	ENSRNOP00000016077
ENSRNOP00000040591	ENSRNOP00000012739
