Gene stable ID	Transcript stable ID	Protein stable ID	Gene name	NCBI gene (formerly Entrezgene) ID
YPR029C	YPR029C_mRNA	YPR029C	APL4	856141
YDR088C	YDR088C_mRNA	YDR088C	SLU7	851661
YFL004W	YFL004W_mRNA	YFL004W	VTC2	850544
YDR369C	YDR369C_mRNA	YDR369C	XRS2	851975
YGL090W	YGL090W_mRNA	YGL090W	LIF1	852790
YLR297W	YLR297W_mRNA	YLR297W		851004
YDR094W	YDR094W_mRNA	YDR094W		
YNL027W	YNL027W_mRNA	YNL027W	CRZ1	855704
YAL064C-A	YAL064C-A_mRNA	YAL064C-A	TDA8	851234
YJL083W	YJL083W_mRNA	YJL083W	TAX4	853362
YKL171W	YKL171W_mRNA	YKL171W	NNK1	853683
YOR353C	YOR353C_mRNA	YOR353C	SOG2	854535
YJR132W	YJR132W_mRNA	YJR132W	NMD5	853596
YLR255C	YLR255C_mRNA	YLR255C		
YMR013W-A	YMR013W-A_mRNA	YMR013W-A		
YNL144W-A	YNL144W-A_mRNA	YNL144W-A		
YPL060W	YPL060W_mRNA	YPL060W	MFM1	856045
YNL333W	YNL333W_mRNA	YNL333W	SNZ2	855383
YCL038C	YCL038C_mRNA	YCL038C	ATG22	850319
YBL035C	YBL035C_mRNA	YBL035C	POL12	852245
YJL092W	YJL092W_mRNA	YJL092W	SRS2	853353
YGL010W	YGL010W_mRNA	YGL010W	MPO1	852874
tI(GAU)Q	tI(GAU)Q_tRNA			
YML076C	YML076C_mRNA	YML076C	WAR1	854899
YDR379W	YDR379W_mRNA	YDR379W	RGA2	851985
YDL029W	YDL029W_mRNA	YDL029W	ARP2	851532
tT(UGU)H	tT(UGU)H_tRNA			
YDR205W	YDR205W_mRNA	YDR205W	MSC2	851786
YJL031C	YJL031C_mRNA	YJL031C	BET4	853421
YLR016C	YLR016C_mRNA	YLR016C	PML1	850703
YOL116W	YOL116W_mRNA	YOL116W	MSN1	854033
YGR019W	YGR019W_mRNA	YGR019W	UGA1	852902
YKL096C-B	YKL096C-B_mRNA	YKL096C-B		1500486
YMR137C	YMR137C_mRNA	YMR137C	PSO2	855168
YLR034C	YLR034C_mRNA	YLR034C	SMF3	850721
YOL041C	YOL041C_mRNA	YOL041C	NOP12	854116
YDL198C	YDL198C_mRNA	YDL198C	GGC1	851329
YPR076W	YPR076W_mRNA	YPR076W		
tS(AGA)J	tS(AGA)J_tRNA			
YHR118C	YHR118C_mRNA	YHR118C	ORC6	856518
YJL097W	YJL097W_mRNA	YJL097W	PHS1	853348
YDL120W	YDL120W_mRNA	YDL120W	YFH1	851437
YLR292C	YLR292C_mRNA	YLR292C	SEC72	850999
YPR170W-B	YPR170W-B_mRNA	YPR170W-B		5848745
YKR091W	YKR091W_mRNA	YKR091W	SRL3	853966
YPR016C	YPR016C_mRNA	YPR016C	TIF6	856126
